,carga_horaria,periodo_letivo,situacao,nota_media,cor_situacao,_ordenaSemestre,nome_disciplina,_ordenaNota
0,60,1º Semestre/2019,Aprovado,"10,0",#00C7B1,1,Geometria Analítica e Álgebra Vetorial,10.0
1,60,1º Semestre/2018,Aprovado,"10,0",#00C7B1,1,Sistemas Digitais,10.0
2,60,1º Semestre/2018,Aprovado,"10,0",#00C7B1,1,Sistemas de Computação e de Informação,10.0
3,60,1º Semestre/2018,Aprovado,"10,0",#00C7B1,1,Algoritmos e Técnicas de Programação,10.0
4,25,1º Semestre/2018,Aprovado,"10,0",#00C7B1,1,ED - Projeto de Vida,10.0
5,60,2º Semestre/2019,Aprovado,"10,0",#00C7B1,2,Física Geral,10.0
6,60,2º Semestre/2019,Aprovado,"10,0",#00C7B1,2,Matemática Discreta,10.0
7,60,2º Semestre/2019,Aprovado,"10,0",#00C7B1,2,Sistemas Operacionais,10.0
8,60,2º Semestre/2019,Aprovado,"10,0",#00C7B1,2,Lógica e Matemática Computacional,10.0
9,25,2º Semestre/2019,Aprovado,"10,0",#00C7B1,2,ED - Construindo Uma Carreira de Sucesso - Computação,10.0
10,60,3º Semestre/2019,Aprovado,"9,6",#00C7B1,3,Modelagem de Dados,9.6
11,60,3º Semestre/2019,Aprovado,"10,0",#00C7B1,3,Arquitetura e Organização de Computadores,10.0
12,60,3º Semestre/2019,Aprovado,"9,4",#00C7B1,3,Algoritmos e Estrutura de Dados,9.4
13,60,3º Semestre/2019,Aprovado,"10,0",#00C7B1,3,Redes de Computadores,10.0
14,60,3º Semestre/2019,Aprovado,"10,0",#00C7B1,3,"Homem, Cultura e Sociedade",10.0
15,60,3º Semestre/2019,Aprovado,"9,8",#00C7B1,3,Métodos Numéricos Aplicados,9.8
16,25,3º Semestre/2019,Aprovado,"10,0",#00C7B1,3,ED - Desenvolvimento de Carreira,10.0
17,60,4º Semestre/2020,Aprovado,"10,0",#00C7B1,4,Algoritmos e Estrutura de Dados Avançado,10.0
18,60,4º Semestre/2020,Aprovado,"10,0",#00C7B1,4,Ciência da Computação e Profissão,10.0
19,25,4º Semestre/2020,Aprovado,"7,0",#00C7B1,4,ED - Empreendedorismo,7.0
20,60,4º Semestre/2020,Aprovado,"9,4",#00C7B1,4,Engenharia de Software,9.4
21,60,4º Semestre/2020,Aprovado,"9,8",#00C7B1,4,Computação Gráfica e Processamento de Imagens,9.8
22,60,5º Semestre/2020,Aprovado,"8,5",#00C7B1,5,Metodologia Científica,8.5
23,5,5º Semestre/2020,Aprovado,"10,0",#00C7B1,5,ED - Empregabilidade,10.0
24,60,5º Semestre/2020,Aprovado,"9,7",#00C7B1,5,Ciência da Computação I,9.7
25,60,5º Semestre/2020,Aprovado,"10,0",#00C7B1,5,Programação Orientada a Objetos,10.0
26,60,5º Semestre/2020,Aprovado,"9,5",#00C7B1,5,Probabilidade e Estatística,9.5
27,60,5º Semestre/2020,Aprovado,"10,0",#00C7B1,5,Gestão de Projetos,10.0
28,60,5º Semestre/2020,Aprovado,"8,8",#00C7B1,5,Inteligência Artificial,8.8
29,5,6º Semestre/2021,Aprovado,"10,0",#00C7B1,6,ED - Cultura Digital,10.0
30,60,6º Semestre/2021,Aprovado,"10,0",#00C7B1,6,Programação em Banco de Dados,10.0
