,carga_horaria,periodo_letivo,situacao,nota_media,cor_situacao,_ordenaSemestre,nome_disciplina,_ordenaNota
0,60,6º Semestre,A cursar,-,#FFF,6,Sistemas Distribuídos,0
1,60,6º Semestre,A cursar,-,#FFF,6,Arquiteturas Paralelas e Distribuídas,0
2,60,6º Semestre,A cursar,-,#FFF,6,Computação em Nuvem,0
3,60,7º Semestre,A cursar,-,#FFF,7,Trabalho de Conclusão de Curso I,0
4,60,7º Semestre,A cursar,-,#FFF,7,Ciência da Computação II,0
5,60,7º Semestre,A cursar,-,#FFF,7,Inteligência Artificial e Computacional,0
6,60,7º Semestre,A cursar,-,#FFF,7,Desenvolvimento de Business Intelligence,0
7,60,7º Semestre,A cursar,-,#FFF,7,Robótica,0
8,60,8º Semestre,A cursar,-,#FFF,8,Trabalho de Conclusão de Curso II,0
9,100,8º Semestre,A cursar,-,#FFF,8,Estágio Supervisionado II,0
10,5,8º Semestre,A cursar,-,#FFF,8,ED - Marketing Digital,0
11,60,8º Semestre,A cursar,-,#FFF,8,Gestão de Projetos de Software,0
12,60,8º Semestre,A cursar,-,#FFF,8,Internet das Coisas,0
